name,datetime
polas,2022-10-12 16:47:08.672103
polas,2022-10-12 16:47:09.061101
polas,2022-10-12 16:47:09.540142
polas,2022-10-12 16:47:10.004175
polas,2022-10-12 16:47:10.522177
polas,2022-10-12 16:47:11.715262
polas,2022-10-12 16:47:12.181264
polas,2022-10-12 16:47:12.657422
polas,2022-10-15 12:48:09.326199
polas,2022-10-15 12:48:10.049444
polas,2022-10-15 12:48:10.495464
polas,2022-10-15 12:48:10.860466
polas,2022-10-15 12:48:11.225464
polas,2022-10-15 12:48:11.589464
polas,2022-10-15 12:48:11.952467
polas,2022-10-15 12:48:53.245913
polas,2022-10-15 12:48:53.601912
polas,2022-10-15 12:48:53.954913
polas,2022-10-15 12:48:54.315914
polas,2022-10-15 12:48:54.671913
polas,2022-10-15 12:48:55.028929
polas,2022-10-15 12:48:55.386932
polas,2022-10-15 12:48:55.736927
polas,2022-10-15 12:48:56.148962
polas,2022-10-15 12:48:56.560979
polas,2022-10-15 12:48:56.971303
polas,2022-10-15 12:48:57.397934
polas,2022-10-15 12:48:57.824335
polas,2022-10-15 12:48:58.214378
polas,2022-10-15 12:48:58.638228
polas,2022-10-15 12:48:59.048265
polas,2022-10-15 12:48:59.797684
polas,2022-10-15 12:49:00.311771
polas,2022-10-15 12:49:00.797819
polas,2022-10-15 12:49:01.231865
polas,2022-10-15 12:49:02.064207
polas,2022-10-15 12:49:02.466208
polas,2022-10-15 12:49:02.886021
polas,2022-10-15 12:49:03.279372
polas,2022-10-15 12:49:03.830549
polas,2022-10-15 12:49:04.229559
polas,2022-10-15 12:49:04.782262
polas,2022-10-15 12:49:05.206584
polas,2022-10-15 12:49:05.619689
polas,2022-10-15 12:49:06.042727
polas,2022-10-15 12:49:06.434852
polas,2022-10-15 12:49:06.791853
polas,2022-10-15 12:49:07.332851
polas,2022-10-15 12:49:07.779851
polas,2022-10-15 12:49:08.131100
polas,2022-10-15 12:49:08.583633
polas,2022-10-15 12:49:08.949079
polas,2022-10-15 12:49:09.382143
polas,2022-10-15 12:49:09.738144
polas,2022-10-15 12:49:10.104144
polas,2022-10-15 12:49:10.463145
polas,2022-10-15 12:49:10.821143
polas,2022-10-15 12:49:11.456146
#4,2022-10-15 12:49:11.901144
polas,2022-10-15 12:49:12.266147
#4,2022-10-15 12:49:12.622143
#4,2022-10-15 12:49:13.257145
polas,2022-10-15 12:49:13.261145
#4,2022-10-15 12:49:13.915376
polas,2022-10-15 12:49:13.921376
#4,2022-10-15 12:49:14.655241
polas,2022-10-15 12:49:14.660243
#4,2022-10-15 12:49:15.292937
polas,2022-10-15 12:49:15.298938
#4,2022-10-15 12:49:15.921549
polas,2022-10-15 12:49:15.925552
#4,2022-10-15 12:49:16.556634
polas,2022-10-15 12:49:16.561631
#4,2022-10-15 12:49:17.205295
polas,2022-10-15 12:49:17.210298
#4,2022-10-15 12:49:17.562348
#4,2022-10-15 12:49:17.930345
#4,2022-10-15 12:49:18.296386
#4,2022-10-15 12:49:18.663387
#4,2022-10-15 12:49:19.024474
#4,2022-10-15 12:49:19.476056
#4,2022-10-15 12:49:19.846052
#4,2022-10-15 12:49:20.218050
#4,2022-10-15 12:49:20.581049
#4,2022-10-15 12:49:20.958459
#4,2022-10-15 12:49:21.333457
#4,2022-10-15 12:49:21.965980
polas,2022-10-15 12:49:21.970982
#4,2022-10-15 12:49:22.336038
#4,2022-10-15 12:49:22.691037
polas,2022-10-15 12:49:23.195058
polas,2022-10-15 12:49:24.074062
polas,2022-10-15 12:49:24.434060
polas,2022-10-15 12:49:24.811060
polas,2022-10-15 12:49:25.262061
polas,2022-10-15 12:49:25.733610
polas,2022-10-15 12:49:26.087614
#4,2022-10-15 12:49:26.446619
